,time,x,y,z,roll,pitch,yaw
36,163645077.303859,-25886.38786,-93232.95705,1.52601,0,0.0012699999999999999,1.9837
37,163645077.40585902,-25886.815,-93231.98091,1.5247899999999999,0,0.0010400000000000001,1.9829299999999999
38,163645077.503859,-25887.2454,-93230.99528999999,1.52376,0,0.00091,1.9821799999999998
39,163645077.603859,-25887.679030000003,-93230.00016,1.52281,0,0.00086,1.98138
40,163645077.70385802,-25888.11582,-93228.99551000001,1.52178,0,0.00108,1.9805099999999998
41,163645077.803858,-25888.55562,-93227.98126,1.52014,0,0.0019,1.97945
42,163645077.903858,-25888.99816,-93226.95728999999,1.51737,0,0.00294,1.9780900000000001
43,163645078.00485802,-25889.443069999998,-93225.92347000001,1.51356,0,0.0036799999999999997,1.97643
44,163645078.104858,-25889.89014,-93224.87968,1.5091700000000001,0,0.00394,1.97468
45,163645078.20385802,-25890.33932,-93223.82592,1.50479,0,0.00364,1.97298
46,163645078.304858,-25890.79062,-93222.7622,1.50084,0,0.0033,1.9712900000000002
47,163645078.403858,-25891.24397,-93221.68848,1.49689,0,0.0035,1.9695
48,163645078.50485802,-25891.6992,-93220.60471,1.49299,0,0.0029,1.9675900000000002
49,163645078.603858,-25892.15614,-93219.51081,1.4908700000000001,0,0.0008699999999999999,1.9655599999999998
50,163645078.704858,-25892.61465,-93218.40673,1.48974,0,0.00193,1.96348
51,163645078.80485702,-25893.074780000003,-93217.2925,1.48314,0,0.00894,1.9616099999999999
52,163645078.903857,-25893.53688,-93216.16827000001,1.46834,0,0.01354,1.96016
53,163645079.00385702,-25894.00128,-93215.03417,1.45455,0,0.00804,1.95885
54,163645079.104857,-25894.46771,-93213.8901,1.45056,0,-0.00011999999999999999,1.9570400000000001
55,163645079.20485702,-25894.9354,-93212.73575,1.4521700000000002,0,-0.0009400000000000001,1.9546299999999999
56,163645079.30485702,-25895.40401,-93211.57097999999,1.45013,0,0.00406,1.95228
57,163645079.404857,-25895.87393,-93210.39597,1.44161,0,0.00852,1.9504700000000001
58,163645079.50385702,-25896.34578,-93209.21095,1.42929,0,0.01023,1.94918
59,163645079.602857,-25896.81987,-93208.01607,1.41594,0,0.0104,1.94792
60,163645079.70285702,-25897.295980000003,-93206.81122999999,1.40234,0,0.010709999999999999,1.9464700000000001
61,163645079.801856,-25897.77412,-93205.59644,1.38735,0,0.01231,1.94528
62,163645079.901856,-25898.25489,-93204.37194,1.36966,0,0.014209999999999999,1.9447400000000001
63,163645080.001856,-25898.73901,-93203.13801,1.35049,0,0.0144,1.9446700000000001
64,163645080.09985602,-25899.22683,-93201.89478999999,1.33154,0,0.014180000000000002,1.94477
65,163645080.199856,-25899.71844,-93200.64232,1.31146,0,0.01584,1.94488
66,163645080.299856,-25900.21374,-93199.38055,1.28769,0,0.01907,1.9447900000000002
67,163645080.399856,-25900.712359999998,-93198.10935,1.25896,0,0.02256,1.9444
68,163645080.505856,-25901.214069999998,-93196.82861,1.2261799999999998,0,0.02449,1.9439799999999998
69,163645080.605856,-25901.71914,-93195.53844,1.1924,0,0.02402,1.944
70,163645080.707856,-25902.22829,-93194.23913999999,1.15952,0,0.02344,1.9445599999999998
71,163645080.806855,-25902.742140000002,-93192.93095,1.1252799999999998,0,0.02553,1.94555
72,163645080.90685502,-25903.26122,-93191.61406,1.08656,0,0.0287,1.94688
73,163645081.005855,-25903.785630000002,-93190.28852,1.0441799999999999,0,0.030310000000000004,1.9479799999999998
74,163645081.10585502,-25904.31506,-93188.95422,0.9999299999999999,0,0.03129,1.9489900000000002
75,163645081.205855,-25904.849769999997,-93187.61125,0.9533200000000001,0,0.03317,1.95035
76,163645081.307855,-25905.3902,-93186.2598,0.90296,0,0.03578,1.95192
77,163645081.405855,-25905.9365,-93184.89994,0.84865,0,0.037860000000000005,1.9534900000000002
78,163645081.506855,-25906.48862,-93183.53163,0.79247,0,0.03785,1.955
79,163645081.60585502,-25907.04665,-93182.15492999999,0.73736,0,0.0365,1.95669
80,163645081.706855,-25907.61114,-93180.77006,0.6823899999999999,0,0.0376,1.9588599999999998
81,163645081.805855,-25908.18275,-93179.3773,0.62154,0,0.04325,1.9614099999999999
82,163645081.90585402,-25908.76186,-93177.97681000001,0.5502100000000001,0,0.04973,1.96413
83,163645082.007854,-25909.3487,-93176.5687,0.47203999999999996,0,0.05159,1.9669299999999998
84,163645082.107854,-25909.94335,-93175.15302,0.39374000000000003,0,0.05037,1.9697
85,163645082.207854,-25910.54571,-93173.72975,0.31597,0,0.05057,1.9723099999999998
86,163645082.307854,-25911.15548,-93172.29875,0.23528000000000002,0,0.05322,1.97465
