time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
1975/03/10/09:57:50.427757,292,163645070,427756870,map,-25869.9055692,-93279.1655097,1.54705429077,-0.000314584819229,0.0006630501978,0.771664612769,0.636029234234,"(0.0004464943751571301, -4.7911041607684674e-05, 0.0, 0.0, 0.0, -4.767614337532904e-05, -4.791104160768466e-05, 0.0006898655894130915, 0.0, 0.0, 0.0, -8.804924548189856e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.767614337532911e-05, -8.804924548189864e-06, 0.0, 0.0, 0.0, 4.558363448488402e-05)"
1975/03/10/09:57:50.451888,293,163645070,451887561,map,-25869.9194957,-93279.0937274,1.54705429077,-0.000314800940312,0.000662947615782,0.771871901408,0.63577765706,"(0.00044589715716855405, -4.747963804256512e-05, 0.0, 0.0, 0.0, -4.778118257243084e-05, -4.747963804256511e-05, 0.0006864839273125716, 0.0, 0.0, 0.0, -8.857124889532957e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.778118257243091e-05, -8.857124889532965e-06, 0.0, 0.0, 0.0, 4.5515777053976395e-05)"
1975/03/10/09:57:50.467938,294,163645070,467938070,map,-25869.9335484,-93279.0215592,1.54705429077,-0.000315019682277,0.000662843701841,0.772081652961,0.635522920564,"(0.0004458694245537573, -4.7566080340685613e-05, 0.0, 0.0, 0.0, -4.799612355124763e-05, -4.756608034068559e-05, 0.000686215063755551, 0.0, 0.0, 0.0, -8.928935263986069e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.799612355124769e-05, -8.928935263986076e-06, 0.0, 0.0, 0.0, 4.5484605783452664e-05)"
1975/03/10/09:57:50.492067,295,163645070,492066891,map,-25869.9477732,-93278.9487735,1.54705429077,-0.00031524963561,0.0006627343665,0.772302099894,0.635255010134,"(0.0004464030045674848, -4.812302004879419e-05, 0.0, 0.0, 0.0, -4.831693806057506e-05, -4.812302004879416e-05, 0.000688805887706823, 0.0, 0.0, 0.0, -9.01998506146117e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.831693806057512e-05, -9.019985061461177e-06, 0.0, 0.0, 0.0, 4.548698689208582e-05)"
1975/03/10/09:57:50.508134,296,163645070,508134378,map,-25869.9621195,-93278.8756473,1.54705429077,-0.000315475780178,0.000662626746679,0.772518840318,0.634991419434,"(0.0004475183055497208, -4.908127270522845e-05, 0.0, 0.0, 0.0, -4.8745183888853494e-05, -4.908127270522842e-05, 0.0006939226198385377, 0.0, 0.0, 0.0, -9.131053317260303e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.8745183888853555e-05, -9.131053317260312e-06, 0.0, 0.0, 0.0, 4.552022458568937e-05)"
1975/03/10/09:57:50.532267,297,163645070,532267295,map,-25869.9769587,-93278.8017837,1.54634523392,-0.000184060848107,0.000620194655759,0.772754014997,0.6347052968,"(0.00044629459006533494, -4.824607779966098e-05, 0.0, 0.0, 0.0, -4.872824837330634e-05, -4.824607779966096e-05, 0.0006876022501173608, 0.0, 0.0, 0.0, -9.155311769850433e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.87282483733064e-05, -9.155311769850443e-06, 0.0, 0.0, 0.0, 4.540962684509882e-05)"
1975/03/10/09:57:50.548353,298,163645070,548352908,map,-25869.9919147,-93278.7275458,1.54634523392,-0.000184299775314,0.000620123697061,0.772998488993,0.634407532659,"(0.0004456872374448289, -4.7894496402535775e-05, 0.0, 0.0, 0.0, -4.8835253723065563e-05, -4.789449640253575e-05, 0.0006842753688941321, 0.0, 0.0, 0.0, -9.20348692438782e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.883525372306562e-05, -9.20348692438783e-06, 0.0, 0.0, 0.0, 4.533905018942488e-05)"
1975/03/10/09:57:50.572481,299,163645070,572480975,map,-25870.0069957,-93278.6529139,1.54634523392,-0.000184540812114,0.00062005201032,0.773245033643,0.634107009445,"(0.0004456865202535446, -4.8055528788541674e-05, 0.0, 0.0, 0.0, -4.905931496561043e-05, -4.8055528788541654e-05, 0.0006840554100995365, 0.0, 0.0, 0.0, -9.274397197376577e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.905931496561048e-05, -9.274397197376587e-06, 0.0, 0.0, 0.0, 4.530581427007497e-05)"
1975/03/10/09:57:50.588567,300,163645070,588566680,map,-25870.0222437,-93278.577688,1.54634523392,-0.000184782912455,0.000619979904596,0.773492577221,0.633805028746,"(0.0004462691034746842, -4.8685299153759414e-05, 0.0, 0.0, 0.0, -4.939370141139644e-05, -4.868529915375939e-05, 0.0006866891916009576, 0.0, 0.0, 0.0, -9.366942656128668e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.9393701411396486e-05, -9.366942656128673e-06, 0.0, 0.0, 0.0, 4.5306693497932315e-05)"
1975/03/10/09:57:50.612682,301,163645070,612681636,map,-25870.0376424,-93278.5019618,1.54634523392,-0.000185027267878,0.000619907022851,0.77374233619,0.633500101553,"(0.0004474472792789729, -4.971566474772408e-05, 0.0, 0.0, 0.0, -4.983862730233894e-05, -4.971566474772405e-05, 0.0006918433821339622, 0.0, 0.0, 0.0, -9.481420673507728e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.9838627302338986e-05, -9.481420673507733e-06, 0.0, 0.0, 0.0, 4.533891384207902e-05)"
