time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
1975/03/10/09:57:51.030765,54,163645071,3864000,map,-25870.3671875,-93276.890625,1.54727959633,7.94252035595e-05,0.000406063014983,0.778500884404,0.627643336001,"(0.0025052452087402344, 4.76837158203125e-06, 0.0, 0.0, 0.0, 0.0, 4.76837158203125e-06, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.127285,55,163645071,103864000,map,-25870.4648438,-93276.453125,1.54682159424,-3.82004845829e-06,0.000454512056944,0.779643470688,0.626223442562,"(0.0025025033950805665, 2.384185791015625e-06, 0.0, 0.0, 0.0, 0.0, 2.384185791015625e-06, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.223802,56,163645071,202864000,map,-25870.5429688,-93276.046875,1.54559934139,-0.000256498084185,0.000534565200735,0.780803420153,0.624776424712,"(0.0025035762786865235, 4.76837158203125e-07, 0.0, 0.0, 0.0, 0.0, 4.76837158203125e-07, 0.002511444091796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.320214,57,163645071,302864000,map,-25870.6523438,-93275.59375,1.54501831532,-0.000508801805674,0.000791266228555,0.781822471988,0.623500392844,"(0.0025009536743164063, 4.76837158203125e-07, 0.0, 0.0, 0.0, 0.0, 4.76837158203125e-07, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.424739,58,163645071,402864000,map,-25870.7617188,-93275.140625,1.54170966148,-0.000757997664127,0.000936237124242,0.782926414341,0.62211316798,"(0.002500596046447754, -1.430511474609375e-06, 0.0, 0.0, 0.0, 0.0, -1.430511474609375e-06, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.529317,59,163645071,502864000,map,-25870.8808594,-93274.671875,1.54257595539,-0.00115011846094,0.00118945436454,0.784023858565,0.62072841828,"(0.0025009536743164063, -2.86102294921875e-06, 0.0, 0.0, 0.0, 0.0, -2.86102294921875e-06, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.625870,60,163645071,602864000,map,-25870.9960938,-93274.1875,1.54252886772,-0.00146322786471,0.00157361877359,0.785302684169,0.619108304525,"(0.002500596046447754, -2.384185791015625e-06, 0.0, 0.0, 0.0, 0.0, -2.384185791015625e-06, 0.0025095367431640626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.722406,61,163645071,702864000,map,-25871.1074219,-93273.703125,1.54166674614,-0.00171488578308,0.00177981609187,0.786592596394,0.617467346004,"(0.0025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.818877,62,163645071,803864000,map,-25871.2324219,-93273.2265625,1.53467106819,-0.0017122703024,0.00160683381296,0.787836475249,0.615879943264,"(0.0025025033950805665, 1.9073486328125e-06, 0.0, 0.0, 0.0, 0.0, 1.9073486328125e-06, 0.002511444091796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:51.923466,63,163645071,903863000,map,-25871.3535156,-93272.7421875,1.53616440296,-0.00148860578819,0.00155406583194,0.789088452683,0.61427581227,"(0.0025009536743164063, 2.384185791015625e-06, 0.0, 0.0, 0.0, 0.0, 2.384185791015625e-06, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
